season_id,player_id,player_season,player,season,season_start,age,team,league,pos,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,all-nba
2184,392,10,Michael Cage,1993-94,1993,32,SEA,NBA,C,82,42,20.8,2.1,3.8,0.545,0,0,0,2.1,3.8,0.546,0.545,0.4,0.9,0.486,2,3.4,5.4,0.5,0.9,0.5,0.6,2.2,4.6,11.9,0.545,0.003,0.236,11.3,19.5,15.4,3.5,2.3,1.6,12.8,10,1.9,3,4.9,0.137,-1.2,1.9,0.7,-0.1,0
2185,392,11,Michael Cage,1994-95,1994,33,CLE,NBA,C,82,21,24.9,2.2,4.1,0.521,0,0,0,2.2,4.1,0.524,0.521,0.6,1.1,0.602,2.5,4.4,6.9,0.7,0.7,0.8,0.7,1.8,5,13.5,0.537,0.006,0.259,12.1,22.8,17.3,4.5,1.7,2.6,12.9,10.2,2.1,3.7,5.8,0.137,-2,3.1,1.1,0.7,0
2186,392,12,Michael Cage,1995-96,1995,34,CLE,NBA,C,82,80,32.1,2.7,4.8,0.556,0,0,0,2.7,4.8,0.557,0.556,0.6,1.1,0.543,3.5,5.4,8.9,0.6,1.1,1,0.7,2.6,6,14.1,0.561,0.003,0.232,14.3,22.7,18.4,3.3,1.9,2.7,11,9.4,4.1,4,8.1,0.148,-0.9,2.4,1.5,0.1,0
2187,392,13,Michael Cage,1996-97,1996,35,PHI,NBA,C,82,24,15.2,0.8,1.7,0.468,0,0,0,0.8,1.7,0.468,0.468,0.2,0.5,0.463,1.4,2.5,3.9,0.5,0.6,0.5,0.2,1.4,1.8,10.3,0.475,0,0.291,9.6,18.6,14,4.9,1.9,2.4,9.7,6,1,1,2,0.078,-2.8,1.5,-1.3,0,0
2188,392,14,Michael Cage,1997-98,1997,36,NJN,NBA,C,79,17,15.2,0.5,1.1,0.512,0,0,0,0.5,1.1,0.518,0.512,0.3,0.5,0.556,1.5,2.4,3.9,0.4,0.6,0.6,0.3,1.3,1.3,10.1,0.531,0.012,0.429,10.4,19.9,14.8,3.6,2,2.7,18.7,4.4,1.1,1.4,2.5,0.1,-1.9,2.9,0.9,-0.1,0
2189,392,15,Michael Cage,1999-00,1999,38,NJN,NBA,C,20,7,12.1,0.6,1.2,0.5,0,0,0,0.6,1.2,0.5,0.5,0.2,0.2,1,1.7,2.4,4.1,0.5,0.4,0.4,0.2,1.5,1.4,12.6,0.533,0,0.125,14.6,22.8,18.6,5.3,1.7,2.3,13.6,5.4,0.4,0.3,0.7,0.14,-1.5,2,0.5,-0.1,0
2190,393,1,Nick Calathes,2013-14,2013,24,MEM,NBA,SG,71,7,16.5,2,4.4,0.457,0.3,0.9,0.311,1.7,3.5,0.492,0.487,0.6,1,0.611,0.3,1.6,1.9,2.9,0.9,0.1,1.4,1.6,4.9,12.3,0.506,0.196,0.232,2.3,11.5,6.9,26.5,3,0.6,22.8,17.5,-0.1,1.6,1.5,0.062,-1.9,0.8,-1.1,-0.4,0
2191,393,2,Nick Calathes,2014-15,2014,25,MEM,NBA,SG,58,0,14.4,1.8,4.3,0.421,0.2,0.7,0.256,1.6,3.5,0.456,0.443,0.4,0.8,0.533,0.3,1.5,1.8,2.5,1.1,0.1,1.1,1.7,4.2,12.3,0.455,0.174,0.182,2.6,11.8,7.2,26.6,3.9,0.5,18.6,17.9,-0.4,1.5,1.1,0.065,-2.1,1.8,-0.3,-0.5,0
2192,394,1,Jose Calderon,2005-06,2005,24,TOR,NBA,SG,64,11,23.2,2.1,4.9,0.423,0.1,0.7,0.163,2,4.2,0.465,0.434,1.2,1.4,0.848,0.5,1.7,2.2,4.5,0.7,0.1,1.6,1.5,5.5,11.4,0.495,0.138,0.295,2.4,9.5,5.8,29.1,1.5,0.2,22.3,14.1,0.9,0,0.9,0.029,-1.8,-2.1,-3.9,0.2,0
2193,394,2,Jose Calderon,2006-07,2006,25,TOR,NBA,PG,77,11,21,3.4,6.6,0.521,0.3,1,0.333,3.1,5.6,0.553,0.546,1.5,1.9,0.818,0.3,1.5,1.7,5,0.8,0.1,1.4,1.8,8.7,19.1,0.588,0.149,0.283,1.5,8.3,4.9,39.7,2,0.2,16.2,19.5,4,1.5,5.4,0.162,2.1,-2,0.1,0.4,0
2194,394,3,Jose Calderon,2007-08,2007,26,TOR,NBA,PG,82,56,30.3,4.5,8.6,0.519,1,2.2,0.429,3.5,6.4,0.551,0.575,1.3,1.5,0.908,0.4,2.5,2.9,8.3,1.1,0.1,1.5,1.6,11.2,20.5,0.607,0.26,0.17,1.6,9.7,5.6,42.3,1.9,0.2,14.2,16.8,8.1,2.2,10.2,0.197,4,-1.5,2.6,-0.4,0
2195,394,4,Jose Calderon,2008-09,2008,27,TOR,NBA,PG,68,68,34.3,4.7,9.5,0.497,1.2,3,0.406,3.5,6.5,0.538,0.561,2.2,2.3,0.981,0.2,2.6,2.9,8.9,1.1,0.1,2.1,1.7,12.8,18.8,0.613,0.314,0.239,0.8,8.9,4.9,41,1.7,0.2,16.7,16.9,6.2,1.3,7.5,0.154,3.3,-2.4,0.9,-0.2,0
2196,394,5,Jose Calderon,2009-10,2009,28,TOR,NBA,PG,68,39,26.7,4,8.4,0.482,1,2.5,0.398,3,5.8,0.519,0.542,1.2,1.5,0.798,0.3,1.8,2.1,5.9,0.7,0.1,1.5,2,10.3,16.5,0.569,0.301,0.183,1.5,7.5,4.6,33.8,1.3,0.3,13.9,17.9,4.2,0,4.2,0.111,2.7,-3.4,-0.6,-0.4,0
2197,394,6,Jose Calderon,2010-11,2010,29,TOR,NBA,PG,68,55,30.9,3.9,8.8,0.44,0.8,2.3,0.365,3,6.5,0.466,0.487,1.3,1.5,0.854,0.4,2.5,3,8.9,1.2,0.1,2.2,2.1,9.8,16.3,0.522,0.262,0.173,1.7,9.9,5.7,43,2,0.3,18.8,16.8,3.2,0.4,3.7,0.084,1.4,-2.7,-1.3,-0.2,0
