player,season_start,svc,rf,knn,gbc,avg
Alex Abrines,2016,0.013390804290949854,0.0,0.0,0.0006514220851257615,0.0035105565940189037
Alex Abrines,2017,0.02594049149153956,0.0,0.0,0.001302844170251523,0.00681083391544777
Alex Abrines,2018,0.04236600294678593,0.0,0.0,0.0019542662553772845,0.011080067300540803
Quincy Acy,2012,0.015059533176018292,0.0,0.0,0.0006514220851257615,0.003927738815286013
Quincy Acy,2013,0.029541325800255487,0.0,0.0,0.001302844170251523,0.0077110424926267514
Quincy Acy,2014,0.04076178507245793,0.0,0.0,0.0019542662553772845,0.010679012831958802
Quincy Acy,2015,0.05428304458530331,0.0,0.0,0.002605688340503046,0.014222183231451586
Quincy Acy,2016,0.06889117626941506,0.0,0.0,0.0032571104256288075,0.018037071673760965
Quincy Acy,2017,0.07998694207517491,0.0,0.0,0.003908532510754569,0.020973868646482367
Quincy Acy,2018,0.09445581014619858,0.0,0.0,0.004559954595880331,0.024753941185519723
Steven Adams,2013,0.014086906480087275,0.0,0.0,0.0006514220851257615,0.003684582141303259
Jordan Adams,2014,0.012933201499521362,0.0,0.0,0.0006514220851257615,0.0033961558961617807
Steven Adams,2014,0.016246945364011254,0.0,0.0,0.001302844170251523,0.004387447383565694
Jordan Adams,2015,0.027127861511443967,0.0,0.0,0.001302844170251523,0.007107676420423873
Steven Adams,2015,0.016722594740887647,0.0,0.0,0.0025140643883364068,0.004809164782306014
Steven Adams,2016,0.016774920422199354,0.0,0.0,0.0036256438300011043,0.0051001410630501145
Steven Adams,2017,0.017299773130924838,0.045714285714285714,0.0,0.013686168356808508,0.019175056800504763
Jaylen Adams,2018,0.015459738342425184,0.0,0.0,0.0006514220851257615,0.004027790106887736
Steven Adams,2018,0.01763281797196431,0.045714285714285714,0.0,0.017995064257235686,0.020335541985871425
Bam Adebayo,2017,0.008126087829284749,0.0,0.0,0.0006514220851257615,0.0021943774786026275
Bam Adebayo,2018,0.009239524910674033,0.0,0.0,0.001756550426327669,0.0027490188342504255
Deng Adel,2018,0.013581520275006077,0.0,0.0,0.0006514220851257615,0.0035582355900329594
Jeff Adrien,2010,0.014535939189108884,0.0,0.0,0.0006514220851257615,0.0037968403185586613
Jeff Adrien,2011,0.027171848418432246,0.0,0.0,0.001302844170251523,0.007118673147170941
Jeff Adrien,2012,0.041567878461130206,0.0,0.0,0.0019542662553772845,0.010880536179126871
Jeff Adrien,2013,0.05207928710440666,0.0,0.0,0.002605688340503046,0.013671243861227424
Jeff Adrien,2014,0.06852051709980556,0.0,0.0,0.0032571104256288075,0.01794440688135859
Arron Afflalo,2009,0.0008892250464499552,0.0,0.0,0.0006514220851257615,0.0003851617828939292
Arron Afflalo,2010,0.0009840315240929906,0.0,0.0,0.0018626423032106453,0.000711668456825909
Arron Afflalo,2011,0.0014787478879317655,0.0,0.0,0.002974221744875343,0.001113242408201777
Arron Afflalo,2012,0.001762036868880071,0.005714285714285714,0.0,0.0036256438300011043,0.0027754916032917223
Arron Afflalo,2013,0.0018282767554031727,0.011428571428571429,0.0,0.009542285129085058,0.005699783328264915
Arron Afflalo,2014,0.001893766777822946,0.011428571428571429,0.0,0.010193707214210819,0.005879011355151299
Arron Afflalo,2015,0.0019886918914263627,0.011428571428571429,0.0,0.01084512929933658,0.006065598154833593
Arron Afflalo,2016,0.005485193149820489,0.011428571428571429,0.0,0.011496551384462341,0.007102578990713565
Arron Afflalo,2017,0.019627289466156696,0.011428571428571429,0.0,0.012147973469588102,0.010800958591079057
Maurice Ager,2010,0.0135523570864913,0.0,0.0,0.0006514220851257615,0.003550944792904265
Blake Ahearn,2011,0.011681918794865557,0.0,0.0,0.0006514220851257615,0.0030833352199978294
Alexis Ajinca,2009,0.012759032355203308,0.0,0.0,0.0006514220851257615,0.003352613610082267
Alexis Ajinca,2010,0.026749621431647247,0.0,0.0,0.001302844170251523,0.007013116400474692
Alexis Ajinca,2013,0.03767362341695266,0.0,0.0,0.0019542662553772845,0.009906972418082487
Alexis Ajinca,2014,0.053006653756277375,0.0,0.0,0.002605688340503046,0.013903085524195107
Alexis Ajinca,2015,0.06677921857575712,0.0,0.0,0.0032571104256288075,0.017509082250346482
Alexis Ajinca,2016,0.08165440331154761,0.0,0.0,0.003908532510754569,0.021390733955575544
Josh Akognon,2012,0.013852256726716522,0.0,0.0,0.0006514220851257615,0.003625919702960571
DeVaughn Akoon-Purcell,2018,0.013653619485108914,0.0,0.0,0.0006514220851257615,0.0035762603925586687
Solomon Alabi,2010,0.014237728723685625,0.0,0.0,0.0006514220851257615,0.0037222877022028466
Solomon Alabi,2011,0.02841717265145277,0.0,0.0,0.001302844170251523,0.007430004205426073
Furkan Aldemir,2014,0.015028258742386674,0.0,0.0,0.0006514220851257615,0.003919920206878109
Cole Aldrich,2010,0.013737728769661804,0.0,0.0,0.0006514220851257615,0.0035972877136968913
Cole Aldrich,2011,0.02689713206033907,0.0,0.0,0.001302844170251523,0.007049994057647648
Cole Aldrich,2012,0.04151407042318418,0.0,0.0,0.0019542662553772845,0.010867084169640367
Cole Aldrich,2013,0.056729277324491664,0.0,0.0,0.002605688340503046,0.014833741416248679
Cole Aldrich,2014,0.06951471854771783,0.0,0.0,0.0032571104256288075,0.018192957243336663
Cole Aldrich,2015,0.0851023120542978,0.0,0.0,0.003908532510754569,0.022252711141263096
Cole Aldrich,2016,0.10322081069792921,0.0,0.0,0.004559954595880331,0.02694519132345239
Cole Aldrich,2017,0.12167187969799442,0.0,0.0,0.005211376681006092,0.03172081409475013
LaMarcus Aldridge,2009,0.0003821988273428427,0.05714285714285714,0.0,0.015427110329905897,0.01823804157502647
LaMarcus Aldridge,2010,0.1497617165919315,0.7028571428571428,0.0,0.38349883426871495,0.30902942342944734
LaMarcus Aldridge,2011,0.21417943686330343,0.7428571428571429,0.17579285664934505,0.40781825595631666,0.385161923081527
LaMarcus Aldridge,2012,0.21573711832769177,0.7885714285714286,0.17579285664934505,0.507273110478328,0.4218436285066984
LaMarcus Aldridge,2013,0.26264428696547276,1.1600000000000001,0.5004219450321516,1.127610676594375,0.7626692271479998
LaMarcus Aldridge,2014,0.2831872145256027,1.5314285714285716,0.8227211723173945,1.7060833175895267,1.0858550689652737
LaMarcus Aldridge,2015,0.3529267455927582,1.8057142857142858,1.0840009458050455,2.188886060173961,1.3578820093215125
LaMarcus Aldridge,2016,0.35340206506910327,1.8114285714285716,1.0840009458050455,2.190892259443541,1.3599309604365653
LaMarcus Aldridge,2017,1.1062293748697276,2.508571428571429,2.0840009458050455,3.0547486324000985,2.188387595411575
LaMarcus Aldridge,2018,1.194453859238609,2.6514285714285717,2.269520709229949,3.4134151543915996,2.382204573572182
Joe Alexander,2009,0.01553931212496554,0.0,0.0,0.0006514220851257615,0.004047683552522825
Cliff Alexander,2015,0.014031706150341725,0.0,0.0,0.0006514220851257615,0.0036707820588668715
Rawle Alkins,2018,0.01408516200918021,0.0,0.0,0.0006514220851257615,0.003684146023576493
Malik Allen,2009,0.014768824749048648,0.0,0.0,0.0006514220851257615,0.003855061708543602
Ray Allen,2009,5.1463576127782436e-05,0.011428571428571429,0.0,0.0030496707943097573,0.003632426449752242
Tony Allen,2009,0.009897640719325562,0.0,0.0,0.0006514220851257615,0.0026372657011128307
Malik Allen,2010,0.02888356009390458,0.0,0.0,0.001302844170251523,0.007546601066039026
Ray Allen,2010,0.0003768158052019213,0.06857142857142857,0.0,0.01606418549677807,0.021253107468352142
Tony Allen,2010,0.013965957625184197,0.0,0.0,0.001302844170251523,0.00381720044885893
Lavoy Allen,2011,0.014593427534280511,0.0,0.0,0.0006514220851257615,0.003811212404851568
Ray Allen,2011,0.002382218801958286,0.06857142857142857,0.0,0.016715607581903835,0.021917313738822674
Tony Allen,2011,0.01692091918708133,0.0,0.0,0.0019542662553772845,0.0047187963606146535
Lavoy Allen,2012,0.020039372017923888,0.0,0.0,0.001302844170251523,0.0053355540470438525
Ray Allen,2012,0.002635512606426435,0.06857142857142857,0.0,0.01782718702356853,0.022258532050355887
Tony Allen,2012,0.017111981571687706,0.0,0.0,0.003065845697041982,0.0050444568171824225
Lavoy Allen,2013,0.033558610679256966,0.0,0.0,0.0019542662553772845,0.008878219233658561
Ray Allen,2013,0.00320792336001472,0.06857142857142857,0.0,0.018478609108694293,0.0225644902600344
Tony Allen,2013,0.020875388950381792,0.0,0.0,0.0037172677821677436,0.006148164183137385
Lavoy Allen,2014,0.046624614382116625,0.0,0.0,0.002605688340503046,0.012307575680654916
Tony Allen,2014,0.02318424001199462,0.0,0.0,0.004368689867293505,0.006888232469822031
Lavoy Allen,2015,0.05229583355907292,0.0,0.0,0.0032571104256288075,0.013888235996175429
Tony Allen,2015,0.02608826724955696,0.0,0.0,0.005020111952419266,0.0077770948004940565
Lavoy Allen,2016,0.06613678064137539,0.0,0.0,0.003908532510754569,0.017511328288032486
Tony Allen,2016,0.027064916029640285,0.0,0.0,0.005671534037545027,0.008184112516796328
Jarrett Allen,2017,0.005608215928741584,0.0,0.0,0.0006514220851257615,0.0015649095034668365
Kadeem Allen,2017,0.013928384767650336,0.0,0.0,0.0006514220851257615,0.0036449517131940242
Tony Allen,2017,0.04162275481431138,0.0,0.0,0.006322956122670788,0.011986427734245542
Grayson Allen,2018,0.01642869423030469,0.0,0.0,0.0006514220851257615,0.004270029078857613
Jarrett Allen,2018,0.005987024331004996,0.0,0.0,0.0020451020273934938,0.0020080315895996226
Kadeem Allen,2018,0.029227862051691603,0.0,0.0,0.0012528299394394709,0.007620172997782768
Morris Almond,2011,0.012456922293498636,0.0,0.0,0.0006514220851257615,0.003277086094656099
Rafer Alston,2009,0.0014607066401358384,0.0,0.0,0.0006014078543137094,0.0005155286236123869
